path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country	region	language
				С 1 января граждане могут штрафовать управляющие компании за неверно начисленную оплату коммунальных услуг	19.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/s-1-yanvarya-grazhdane-mogut-shtrafovat-upravlyayuschie-kompan/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Дорогу до границы с Грузией расширят до шести полос	19.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/dorogu-do-granitsy-s-gruziey-rasshiryat-do-shesti-polos/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ заключил больше 230 кредитных сделок с субъектами МСП по «Программе 6,5» на 37 млрд рублей	19.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-zaklyuchil-bolshe-230-kreditnyh-sdelok-s-subektami-msp-po-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Валентина Матвиенко: Совет Федерации будет продолжать оказывать содействие развитию Ставрополья	18.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/valentina-matvienko-sovet-federatsii-budet-prodolzhat-okazyvat/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Сенаторы изучили продукцию шести заводов Ставрополья	18.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/senatory-izuchili-shest-zavodov-stavropolya/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» обеспечил устойчивую работу связи в условиях повышенной нагрузки в дни новогодних праздников	18.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-obespechil-ustoychivuyu-rabotu-svyazi-v-usloviyah-p/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Новый год в формате digital: «Ростелеком» помог вырастить 133 тысячи цифровых ёлок и украсить их 2,4 миллиона виртуальных игрушек	17.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/novyy-god-v-formate-digital-rostelekom-pomog-vyrastit-133-tysy/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Только Свердловская область обогнала Ставрополье по господдержке промышленности	16.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/tolko-sverdlovsk-obognal-stavropole-po-gospodderzhke-promyshle/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				100 тысяч российских пенсионеров прошли обучение компьютерной грамотности по программе «Азбука интернета»	13.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/100-tysyach-rossiyskih-pensionerov-proshli-obuchenie-kompyuter/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Мусорную реформу отодвинули на 2 года	13.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/musornuyu-reformu-otodvinuli-na-2-goda/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Жители многоквартирных домов больше не будут переплачивать за общедомовые нужды	13.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/zhiteli-mnogokvartirnyh-domov-bolshe-ne-budut-pereplachivat-za/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Минкавказ и Минобрнауки расселят 12 тысяч школьников из третьей смены	13.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/minkavkaz-i-minobrnauki-rasselyat-12-tysyach-shkolnikov-iz-tre/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Банк ВТБ и Инновационный центр «Буревестник» подписали договор на финансирование инвестиционного проекта	12.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/bank-vtb-i-innovatsionnyy-tsentr-burevestnik-podpisali-dogovor1/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Из 200 коллекторских агентств пока только 31 получило лицензию	12.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/iz-200-kollektorskih-agentstv-poka-tolko-31-poluchilo-litsenzi/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Центробанк подготовил послабления для ломбардов	12.01.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/tsentrobank-podgotovil-poslableniya-dlya-lombardov/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				С 1 января 2017 года страховщики будут обязаны обеспечить возможность заключения договора ОСАГО в электронном виде	22.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/s-1-yanvarya-2017-goda-strahovschiki-budut-obyazany-obespechit/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Воспитанники ставропольской школы для глухих завоевали 28 медалей на чемпионате в Волгограде	22.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vospitanniki-stavropolskoy-shkoly-dlya-gluhih-zavoevali-28-med/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Почта России и Федеральная таможенная служба упростили отправку товаров за рубеж	21.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/pochta-rossii-i-federalnaya-tamozhennaya-sluzhba-uprostili-otp/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Глава Ставрополя поднялся в рейтинге российских мэров на 21 пункт	20.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/glava-stavropolya-podnyalsya-v-reytinge-rossiyskih-merov/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Бывший депутат Госдумы России от Ставрополья отказывается покидать служебную квартиру в Москве	19.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/byvshiy-deputat-gosdumy-rossii-ot-stavropolya-otkazyvaetsya-po/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ развивает сотрудничество с крупным агропредприятием Кабардино–Балкарской Республики	19.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-razvivaet-sotrudnichestvo-s-krupnym-agropredpriyatiem-kaba1/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Каждому к Новому году – собственную цифровую елку от «Ростелекома»	15.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/kazhdomu-k-novomu-godu-sobstvennuyu-tsifrovuyu-elku-ot-rostele/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Группа ВТБ объявляет стратегию на 2017-2019 годы	14.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/gruppa-vtb-obyavlyaet-strategiyu-na-2017-2019-gody/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольские борцы завоевали 8 медалей на Турнире чемпионов в Карачаевске	09.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolskie-bortsy-zavoevali-8-medaley-na-turnire-chempionov/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Группа ВТБ снижает ставки по ипотеке	08.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/gruppa-vtb-snizhaet-stavki-po-ipoteke/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ профинансировал инвестиционный проект ГК «Фроствей»	06.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-profinansiroval-investitsionnyy-proekt-gk-frostvey/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Здесь всё не то, чем кажется: авантюрно-развлекательный телеканал TRiCK появился в «Интерактивном ТВ» от «Ростелекома»	05.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/zdes-vsyo-ne-to-chem-kazhetsya-avantyurno-razvlekatelnyy-telek/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ профинансировал фармацевтическую группу «СИА ИНТЕРНЕЙШНЛ» на 5,4 млрд рублей	05.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-profinansiroval-farmatsevticheskuyu-gruppu-sia-interneyshn/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Новый год – всем, Телеканал Деда Мороза – только зрителям «Интерактивного ТВ» от «Ростелекома»	01.12.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/novyy-god-vsem-telekanal-deda-moroza-tolko-zritelyam-interakti/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Путин назначил министром экономразвития 34-летнего Максима Орешкина	30.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/putin-naznachil-ministrom-ekonomrazvitiya-34-letnego-maksima-o/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Программа «Азбука интернета» дополнена разделом «Поиск работы в интернете»	30.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/programma-azbuka-interneta-dopolnena-razdelom-poisk-raboty-v-i/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ профинансировал крупнейшего производителя колбасной продукции на территории РСО - Алания	29.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-profinansiroval-krupneyshego-proizvoditelya-kolbasnoy-prod/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставрополье попало в список самых трезвых регионов России	23.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropole-popalo-v-spisok-samyh-trezvyh-regionov-rossii/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» в Ставрополе поддержал Общероссийский форум «Россия студенческая» и финал Российской национальной премии «Студент года – 2016»	22.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-v-stavropole-podderzhal-obscherossiyskiy-forum-ross/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В России началось производство Ford Kuga	15.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-rossii-nachalos-proizvodstvo-ford-cuga/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Вафельная разметка появится во многих городах России	15.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vafelnaya-razmetka-poyavitsya-vo-mnogih-gorodah-rossii/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Мигель назвал танцовщицу из Ставрополя алмазом шоу «Танцы» 	14.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/migel-nazval-tantsovschitsu-iz-stavropolya-almazom-shou-tantsy/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставрополье представило 9 проектов на сумму около 15 млрд рублей для включения в госпрограмму развития СКФО	10.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropole-predstavilo-9-proektov-na-summu-okolo-15-mlrd-ruble/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Кухня, или Рецепты работы без замечаний	10.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/kuhnya-ili-retsepty-raboty-bez-zamechaniy/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Юный пианист из Ставрополя стал участником телевизионного проекта «Синяя птица»	09.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/yunyy-pianist-iz-stavropolya-stal-uchastnikom-televizionnogo-p/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Доходность вкладов в российских банках продолжает снижаться	09.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/dohodnost-vkladov-v-rossiyskih-bankah-prodolzhaet-snizhatsya/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В России появились первые нелегальные полисы ОСАГО нового образца 	09.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-rossii-poyavilis-pervye-nelegalnye-polisy-osago-novogo-obraz/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Центробанк сохранил ключевую ставку	09.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/tsentrobank-sohranil-klyuchevuyu-stavku001/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				АИЖК прогнозирует удвоение объемов ипотеки	09.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/aizhk-prognoziruet-udvoenie-obemov-ipoteki/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Правительство избавило пользователей «Госуслуг» от 85 видов документов	09.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/pravitelstvo-izbavilo-polzovateley-gosuslug-ot-85-vidov-dokume/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» объявляет о старте VI конкурса для региональных журналистов «Технологии для жизни – больше возможностей»	08.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-obyavlyaet-o-starte-vi-konkursa-dlya-regionalnyh-zh/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Минкавказ определил стратегические проекты в регионе	08.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/minkavkaz-opredelil-strategicheskie-proekty-v-regione/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ открыл более 400 специальных счетов в СКФО	07.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-otkryl-bolee-400-spetsialnyh-schetov-v-skfo/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Подведены итоги второго всероссийского конкурса «Спасибо интернету 2016»	07.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/podvedeny-itogi-vtorogo-vserossiyskogo-konkursa-spasibo-intern/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				За полгода жители ЮФО и СКФО говорили по домашнему телефону 200 тысяч часов по тарифу «Безлимитная Россия» от «Ростелекома»	03.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/za-polgoda-zhiteli-yufo-i-skfo-govorili-po-domashnemu-telefonu/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Наблюдательный совет ВТБ принял решение о присоединении банка ВТБ24	03.11.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/nablyudatelnyy-sovet-vtb-prinyal-reshenie-o-prisoedinenii-bank/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Интерактивное ТВ» от «Ростелекома» удостоено национальной премии «Золотой луч»	28.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/interaktivnoe-tv-ot-rostelekoma-udostoeno-natsionalnoy-premii-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Корпоративный филиал ВТБ в СКФО подвёл итоги работы за 9 месяцев 2016 года	26.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/korporativnyy-filial-vtb-v-skfo-podvyol-itogi-raboty-za-9-mesy/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ снижает ставки по кредитам для компаний малого и среднего бизнеса в рамках программы Корпорации МСП	22.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-snizhaet-stavki-po-kreditam-dlya-kompaniy-malogo-i-sredneg/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Взгляд в электронное будущее»: третья конференция профессионалов в области цифровых сервисов для государства и общества	20.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vzglyad-v-elektronnoe-buduschee-tretya-konferentsiya-professio/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Личный кабинет доступен бизнес-клиентам «Ростелекома» по всей стране	20.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/lichnyy-kabinet-dostupen-biznes-klientam-rostelekoma-po-vsey-s/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» запускает новый этап конкурса школьных интернет-проектов «Классный интернет»	20.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-zapuskaet-novyy-etap-konkursa-shkolnyh-internet-pro/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Стартовал V Всероссийский онлайн-чемпионат «Изучи интернет – управляй им!»	18.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/startoval-v-vserossiyskiy-onlayn-chempionat-izuchi-internet-up/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В Северной Осетии в ДТП погибли 5 человек	14.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-severnoy-osetii-v-dtp-pogibli-5-chelovek/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				За год на Северном Кавказе задержали 49 боевиков и 328 пособников	12.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/za-god-na-severnom-kavkaze-zaderzhali-49-boevikov-i-328-posobn/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольские полицейские задержали в Уфе мошенников 	12.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolskie-politseyskie-zaderzhali-v-ufe-moshennikov-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Новые полисы ОСАГО приобрели 3,5 млн автовладельцев	12.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/novye-polisy-osago-priobreli-35-mln-avtovladeltsev/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Россияне держат на руках 3,8 триллиона рублей	12.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rossiyane-derzhat-na-rukah-38-trilliona-rubley/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Инфляционные ожидания россиян вернулись на докризисный уровень	12.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/inflyatsionnye-ozhidaniya-rossiyan-vernulis-na-dokrizisnyy-uro/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Льготное автокредитование может быть продолжено в 2017 году	12.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/lgotnoe-avtokreditovanie-mozhet-byt-prodolzheno-v-2017-godu/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В 2017 году все кассовые аппараты будут работать в режиме онлайн	11.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-2017-godu-vse-kassovye-apparaty-budut-rabotat-v-rezhime-onla/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Северокавказские таможенники изъяли за месяц более 17 тысяч пачек контрабандных сигарет	07.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/severokavkazskie-tamozhenniki-izyali-za-mesyats-bolee-17-tysya/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«МКС» напоил москвичей молоком «для тех, кто не пьет молоко»	06.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/mks-napoil-moskvichey-molokom-dlya-teh-kto-ne-pet-moloko/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Депутаты Госдумы от Ставрополья заняли ряд руководящих должностей в комитетах	06.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/deputaty-gosdumy-ot-stavropolya-zanyali-ryad-rukovodyaschih-do/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ольга Тимофеева возглавила комитет Государственный Думы по экологии и охране окружающей среды	05.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/olga-timofeeva-vozglavila-komitet-gosudarstvennyy-dumy-po-ekol/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ предоставил инвестиционный кредит молочному комбинату КБР 	05.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-predostavil-investitsionnyy-kredit-molochnomu-kombinatu-kb/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Объявлен состав нового правительства Карачаево-Черкесии	04.10.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/obyavlen-sostav-novogo-pravitelstva-karachaevo-cherkessii/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» выступил телекоммуникационным партнёром Инвестиционного форума Сочи  - 2016	30.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-vystupil-telekommunikatsionnym-partnyorom-investits/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Госбюджет заплатит за перевозку ставропольских сельхозмашин	29.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/gosbyudzhet-zaplatit-za-perevozku-stavropolskih-selhozmashin/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Правительство России поддержало законопроект о запрете бэби-боксов	28.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/pravitelstvo-rossii-podderzhalo-zakonoproekt-o-zaprete-bebi-bo/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Новое понятие «уголовный проступок» обсудят на съезде судей в Новосибирске	28.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/novoe-ponyatie-ugolovnyy-prostupok-obsudyat-na-sezde-sudey-v-n/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ Пенсионный фонд реализовал онлайн-сервис по заключению договоров и внесению пенсионных взносов на сайте фонда 	27.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-pensionnyy-fond-realizoval-onlayn-servis-po-zaklyucheniyu-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Сергей Лазарев стал самым быстрым пожарным Северного Кавказа	23.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/sergey-lazarev-stal-samym-bystrym-pozharnym-severnogo-kavkaza/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Анна Бычкова встретилась с Путиным	22.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/anna-bychkova-vstretilas-s-putinym/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ профинансировал по льготной ставке производственное предприятие КЧР 	22.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-profinansiroval-po-lgotnoy-stavke-proizvodstvennoe-predpri/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Как оформить пенсию?	21.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/kak-oformit-pensiyu/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Россияне чувствуют себя беднеющими	21.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rossiyane-chuvstvuyut-sebya-bedneyuschimi/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Банк России снизил ключевую ставку до 10 процентов	21.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/bank-rossii-snizil-klyuchevuyu-stavku-do-10-protsentov/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Аккредитовано первое российское рейтинговое агентство	21.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/akkreditovano-pervoe-rossiyskoe-reytingovoe-agentstvo/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Минфин раскрыл некоторые моменты реформы ОСАГО	21.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/minfin-raskryl-nekotorye-momenty-reformy-osago/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Предварительные итоги выборов в Государственную Думу России	19.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/predvaritelnye-itogi-vyborov-v-gosudarstvennuyu-dumu-rossii/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				По предварительным данным голосования ЕР будет иметь в Госдуме подавляющее большинство	19.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/po-predvaritelnym-dannym-golosovaniya-er-budet-imet-v-gosdume-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Первые данные о результатах голосования в России	18.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/pervye-dannye-o-rezultatah-golosovaniya-v-rossii/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Сборная команда Ставрополья стала победителем открытых Всероссийских юношеских игр боевых искусств	16.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/sbornaya-komanda-stavropolya-stala-pobeditelesm-otkrytyh-vsero/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольцы получили 3 бронзовых медали на соревнованиях по борьбе	16.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropoltsy-poluchili-3-bronzovyh-medali-na-sorevnovaniyah-po/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Авиакомпания UTair начала продажу дешёвых билетов из Москвы в Минводы и Ставрополь	16.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/aviakompaniya-utair-nachala-prodazhu-deshyovyh-biletov-iz-mosk/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Банки крайне заинтересованы в получении средств населения	14.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/banki-krayne-zainteresovany-v-poluchenii-sredstv-naseleniya/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Киберпреступления предлагают приравнять к краже 	14.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/kiberprestupleniya-predlagayut-priravnyat-k-krazhe-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В России создается трехуровневая банковская система	14.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-rossii-sozdaetsya-trehurovnevaya-bankovskaya-sistema/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Иностранные банки могут стать членами НСПК	14.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/inostrannye-banki-mogut-stat-chlenami-nspk/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Максимум интернета и телевидения для всей семьи – новая акция «Ростелекома»	14.09.2016	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/maksimum-interneta-i-televideniya-dlya-vsey-semi-novaya-aktsiy/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
