path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country	region	language
				Страховой полис ВТБ можно оформить на сайте РЖД	16.06.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/strahovoy-polis-vtb-mozhno-oformit-na-sayte-rzhd/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Прямая линия с Владимиром Путиным	15.06.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/pryamaya-liniya-s-vladimirom-putinym/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Группа ВТБ снижает ставки по ипотеке до 10%	07.06.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/gruppa-vtb-snizhaet-stavki-po-ipoteke-do-10/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Система видеонаблюдения «Ростелекома» готова к проведению основного периода ЕГЭ-2017 в ЮФО и СКФО	01.06.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/sistema-videonablyudeniya-rostelekoma-gotova-k-provedeniyu-osn/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» обсудил вопросы развития информатизации на Юге России с представителями власти ЮФО и СКФО	30.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-obsudil-voprosy-razvitiya-informatizatsii-na-yuge-r/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ профинансировал Нальчикский молочный комбинат	24.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-profinansiroval-nalchikskiy-molochnyy-kombinat/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольские рукопашники завоевали 15 медалей и путёвку на первенство России	23.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolskie-rukopashniki-zavoevali-15-medaley-i-putyovku-na-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольский прыгун в воду отправится на чемпионат Европы	23.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolskiy-prygun-v-vodu-otpravitsya-na-chempionat-evropy/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Полпред президента в СКФО встретился с представителями СМИ региона	17.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/polpred-prezidenta-v-skfo-vstretilsya-s-predstavitelyami-smi-r/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Успейте поймать выгоду до конца мая: в ЮФО и СКФО стартовала акция «Ростелекома» #НастоящееТв	15.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/uspeyte-poymat-vygodu-do-kontsa-maya-v-yufo-i-skfo-startovala-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Интерактивное ТВ «Ростелекома» заняло первую строчку в рейтинге ТМТ Консалтинг среди операторов связи по размеру абонентской базы	11.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/interaktivnoe-tv-rostelekoma-zanyalo-pervuyu-strochku-v-reytin/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Россияне смогут оформлять загранпаспорт со скидкой через «Госуслуги»	10.05.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rossiyane-smogut-oformlyat-zagranpasporta-so-skidkoy-cherez-go/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
